video_id,comment,cleaned_comment,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,label,,
ciOyAvmMpw8,Naikin pajak Bu..biar rakyat yg Tanggulangin keluhan pemerintah,Naikin pajak Bu..biar rakyat yg Tanggulangin keluhan pemerintah,,,,,0,,
ciOyAvmMpw8,,400 T. Tahun 2030 NKRI ambruk dan bubar. kata Prabowo Ya wajar klo ambruk.,,,,#VALUE!,0,,
ciOyAvmMpw8,"Pa presiden harusnya bikin prioritas untuk MBG, kalo ngga ya gak adil, masa yg dikota banyak yg masih mampu trus yg di kampung dan di plosok"" blum dapat apa"", kacau emg ni program.","Pa presiden harusnya bikin prioritas untuk MBG, kalo ngga ya gak adil, masa yg dikota banyak yg masih mampu trus yg di kampung dan di plosok blum dapat apa, kacau emg ni program.",,,,,0,,
P7Ro_Q60UBg,saya usaha percetakan drugikan krn efisiensi anggaran. banyak instansi yg tidak cetak cetak lg,saya usaha percetakan drugikan krn efisiensi anggaran. banyak instansi yg tidak cetak cetak lg,,,,,0,,
P7Ro_Q60UBg,"Menyikapi program MBG ini, menurut saya seharusnya prioritaskan dulu program yang sangat sangat krusial, yaitu program yang membuat seorang kepala keluarga mampu secara finansial, dengan cara menyediakan lapangan pekerjaan yang sebesar-besarnya, program pemerataan agar seorang kepala keluarga mampu secara ekonomi karena mudahnya mendapatkan pekerjaan di Negeri sendiri. dengan begitu , jika seorang kepala keluarga mampu secara finansial, maka ia pasti akan mengayomi keluarganya, memperlakukan dengan baik keluarganya, dan menyediakan yg terbaik untuk keluarganya dari segi sandang pangan papan, dan dengan sendirinya seorang kepala keluarga pasti akan  memberikan makanan yg paling bergizi untuk tumbuh kembang anak2nya, juga memberikan pendidikan yg terbaik sehingga tumbuhlah seorang anak dengan SDM yg baik, unggul dan Mumpuni , yg berguna bagi bangsa dan Negaranya, bukan begitu pak!","Menyikapi program MBG ini, menurut saya seharusnya prioritaskan dulu program yang sangat sangat krusial, yaitu program yang membuat seorang kepala keluarga mampu secara finansial, dengan cara menyediakan lapangan pekerjaan yang sebesarbesarnya, program pemerataan agar seorang kepala keluarga mampu secara ekonomi karena mudahnya mendapatkan pekerjaan di Negeri sendiri. dengan begitu , jika seorang kepala keluarga mampu secara finansial, maka ia pasti akan mengayomi keluarganya, memperlakukan dengan baik keluarganya, dan menyediakan yg terbaik untuk keluarganya dari segi sandang pangan papan, dan dengan sendirinya seorang kepala keluarga pasti akan memberikan makanan yg paling bergizi untuk tumbuh kembang anak2nya, juga memberikan pendidikan yg terbaik sehingga tumbuhlah seorang anak dengan SDM yg baik, unggul dan Mumpuni , yg berguna bagi bangsa dan Negaranya, bukan begitu pak!",,,,,0,,
P7Ro_Q60UBg,Dampak kemana mana .... Kacau perekonomian 2025,Dampak kemana mana .... Kacau perekonomian 2025,,,,,0,,
P7Ro_Q60UBg,"Tekon keyaine  ngadubutu ,ngUkofar ,,ra g tirakat","Tekon keyaine ngadubutu ,ngUkofar ,,ra g tirakat",,,,,0,,
P7Ro_Q60UBg,S ta salah b pilih eh rakyat sdh susah,S ta salah b pilih eh rakyat sdh susah,,,,,0,,
P7Ro_Q60UBg,Cm kelaparan trus infrastruktur di hilangkan,Cm kelaparan trus infrastruktur di hilangkan,,,,,0,,
P7Ro_Q60UBg,DPR ANGGARANNYA SANGAT BESAR,DPR ANGGARANNYA SANGAT BESAR,,,,,0,,
P7Ro_Q60UBg,"ADA KOMBINASI ANTARA ADOPSI TEKNOLOGI DIGITAL DARI AS DAN  KEJAHATAN EKONOMI DALAM SEGALA BENTUKNYA. JIKA INEFISIENSI DAN KORUPSI  MAKIN BESAR, AS MAKIN UNTUNG KARENA  TRANSAKSI  KEUANGAN YG MENGGUNAKAN TEKNOLOGI DIGITAN BIKINAN AS  JUGA MAKIN BESAR.","ADA KOMBINASI ANTARA ADOPSI TEKNOLOGI DIGITAL DARI AS DAN KEJAHATAN EKONOMI DALAM SEGALA BENTUKNYA. JIKA INEFISIENSI DAN KORUPSI MAKIN BESAR, AS MAKIN UNTUNG KARENA TRANSAKSI KEUANGAN YG MENGGUNAKAN TEKNOLOGI DIGITAN BIKINAN AS JUGA MAKIN BESAR.",,,,,0,,
P7Ro_Q60UBg,Makin gag jelas..rakyat kecil jadi korban,Makin gag jelas..rakyat kecil jadi korban,,,,,0,,
P7Ro_Q60UBg,"dampak domino efisiensi thdp akomodasi hospitality yg isinya menyangkut kuliner saat ini tentunya akan membuat pasar2/distribusi sayuran,sembako & lauk-pauk yg biasanya menyediakan consume utk sarapan&dinner akhirnya menjadi lesu & umkm+catering yg biasanya menjadi vendor/partner hotel dari luar menyediakan aneka jajanan/kulineran akan mandeg , bahkan sampai pasar yg biasanya disasar industri hotel utk purchase order fresh food akan banyak yg turut mangkrak (produsen & pasar akan turut pailit & resesi/gulung tikar)","dampak domino efisiensi thdp akomodasi hospitality yg isinya menyangkut kuliner saat ini tentunya akan membuat pasar2distribusi sayuran,sembako laukpauk yg biasanya menyediakan consume utk sarapandinner akhirnya menjadi lesu umkmcatering yg biasanya menjadi vendorpartner hotel dari luar menyediakan aneka jajanankulineran akan mandeg , bahkan sampai pasar yg biasanya disasar industri hotel utk purchase order fresh food akan banyak yg turut mangkrak produsen pasar akan turut pailit resesigulung tikar",,,,,0,,
P7Ro_Q60UBg,,"Buktinya dolar 17rb,jelas ga efisien. PMSG terlalu berat karena setiap harga diberbagai daerah bedabeda,dan ga semua kalangan butuh PMSG. yg stunting bukan anaknya,tapi ortunya jg sama karena stress ga dapet kerjaan. belum olshop yg bikin bangkrut industri karena yg dibeli pemodal itu barang impor. Sri Mulyani bergairah soal pajak tahun lalu, padahal itu semua cuma pajakin perusahaan doang yg lagi seret tapi masih butuh kerjaan pemerintah. Dan sekarang dia nyuruh warganya bayar pajak, padahal mereka udah byr pajak. yg harus dipikirkan itu masa depan, bukan baca Twitter terus jd males karena kebanyakan informasi.",,,,,0,,
P7Ro_Q60UBg,"gaji kami dokter PTT di kab. Kupang, NTT dipotong dengan alasan efisiensi anggaran yang ditetapkan pada tanggal 27 maret 2025, pemotongan hampir 50% dengan tantangan pekerjaan sebagai berikut: jarak tempat saya bekerja 3 jam PP, jalannya juga banyak yang rusak dan harus mendaki ke gunung, kami di puskesmas belum mempunyai rumah dinas, tempat saya bekerja sulit sinyal, saya dokter satu-satunya di puskesmas tersebut sehingga jam kerja saya juga tidak menentu. Sudah mediasi dengan dinas kesehatan dan bapak bupati tapi tidak ada solusi dan kami di minta menerima saja gaji sesuai SK yang terbit pada tanggal 10 april 2025. Bahkan sampai detik ini kami belum menerima gaji dari bulan januari 2025.","gaji kami dokter PTT di kab. Kupang, NTT dipotong dengan alasan efisiensi anggaran yang ditetapkan pada tanggal 27 maret 2025, pemotongan hampir 50 dengan tantangan pekerjaan sebagai berikut jarak tempat saya bekerja 3 jam PP, jalannya juga banyak yang rusak dan harus mendaki ke gunung, kami di puskesmas belum mempunyai rumah dinas, tempat saya bekerja sulit sinyal, saya dokter satusatunya di puskesmas tersebut sehingga jam kerja saya juga tidak menentu. Sudah mediasi dengan dinas kesehatan dan bapak bupati tapi tidak ada solusi dan kami di minta menerima saja gaji sesuai SK yang terbit pada tanggal 10 april 2025. Bahkan sampai detik ini kami belum menerima gaji dari bulan januari 2025.",,,,,0,,
P7Ro_Q60UBg,Ambruk yang ada ekonomi,Ambruk yang ada ekonomi,,,,,0,,
P7Ro_Q60UBg,Salah dalan iki pak,Salah dalan iki pak,,,,,0,,
P7Ro_Q60UBg,congor munafik,congor munafik,,,,,0,,
P7Ro_Q60UBg,,"tukar guling yang tidak sesuai, untuk mengimplementasikan makan gratis untuk anakanak sekolah, gw masuk di list yang harus kena efisiensi dari perusahaan,. Pak kalo mau efisiensi, mohon perjelas efisiensinya harus tepat, jangan jadikan kami buruh yang gaji paspasan kena efisiensi. lihatlah pejabatpejabat BUMN, masih hangat isu BUMN Garuda yng menghire pegawai eks lion dengan gaji fantastis, gaji direksi pertamina yang 3 digit korupsi. itulah yang harus diefisiensi Pak, bukan kami jongos2 yang harus diefisiensi PHK. kebutuhan kami bukan hanya pangan, tp sandang dan papan pun kami butuhkan Pak. jangan jadikan sila kelima pancasila menjadi keadilan sosial bagi yang punya kekuasaan belum cukupkah kami harus merasakan kesengsaraan selama 2014 sd 2024 ?, apakah bapak rindu ingin bernostalgia dengan kejadian mei 1998 ?, dimana rakyat sudah jenuh dengan aturan aturan yang tidak berpihak kepada rakyat kecil,",,,,,0,,
P7Ro_Q60UBg,Yg terkena dampak malah banyak phk sementara korupsi sampai hari ini ada saja,Yg terkena dampak malah banyak phk sementara korupsi sampai hari ini ada saja,,,,,0,,
P7Ro_Q60UBg,"Hidup pak Prabowo,100%dukungan untuk presiden,nasib rakyat lebih utama penting,semoga sejahtera,apa pun keputusan presiden,SDH ijin dan kehendak tuhan,memang seharus nya,seorang pemimpin,untuk rakyat","Hidup pak Prabowo,100dukungan untuk presiden,nasib rakyat lebih utama penting,semoga sejahtera,apa pun keputusan presiden,SDH ijin dan kehendak tuhan,memang seharus nya,seorang pemimpin,untuk rakyat",,,,,0,,
P7Ro_Q60UBg,Krbijakan tanpa di dasari rasa keadilan akan membuat kehancuran,Krbijakan tanpa di dasari rasa keadilan akan membuat kehancuran,,,,,0,,
P7Ro_Q60UBg,"Peng hematan ntar ujung2 juga Ratusan triliun juga yg di korupsi, nyesal juga dulu milih omon2","Peng hematan ntar ujung2 juga Ratusan triliun juga yg di korupsi, nyesal juga dulu milih omon2",,,,,0,,
P7Ro_Q60UBg,kami guru honorer sngat trdampak akibat efesiensi .biasa dpt 400-500rb/bln dr kabko tetapi masa pak prabowo malah tdk dpt apa apa sedikitpun😢😢kasian sm tmn2 honorer yg lain,kami guru honorer sngat trdampak akibat efesiensi .biasa dpt 400500rbbln dr kabko tetapi masa pak prabowo malah tdk dpt apa apa sedikitpun kasian sm tmn2 honorer yg lain,,,,,0,,
